日期,数据集,实际均价,正式模型预测均价,实验模型预测均价,正式模型MAPE,实验模型MAPE
2025-08-03,训练集,0.83336875,0.81085668,0.81952709,0.10979166,0.06210995
2025-08-04,测试集,0.84478472,0.83196218,0.83968416,0.06843494,0.05356755
2025-08-05,训练集,0.84459583,0.81252440,0.82001683,0.11266463,0.06916791
2025-08-06,训练集,0.85774861,0.83708186,0.84357057,0.07014145,0.05342166
2025-08-07,训练集,0.84110486,0.84735554,0.84818201,0.07939024,0.06336492
2025-08-08,验证集,0.63795208,0.79431413,0.75209868,0.38041889,0.28324721
2025-08-09,训练集,0.65297500,0.80288998,0.76627967,0.33329751,0.24209402
2025-08-10,测试集,0.84869097,0.72976979,0.76148354,0.14901103,0.10845752
2025-08-11,训练集,0.83962986,0.80507508,0.82479861,0.10026460,0.07150380
2025-08-12,训练集,0.85737083,0.82867441,0.83311496,0.06745136,0.05532417
2025-08-13,训练集,0.85316528,0.84728523,0.84908031,0.06378697,0.04964371
2025-08-14,验证集,0.85012014,0.84251257,0.84635956,0.06830016,0.05675310
2025-08-15,训练集,0.65121528,0.79718821,0.76397461,0.36070228,0.26717069
2025-08-16,测试集,0.64734097,0.68562978,0.68921094,0.13507948,0.12972158
2025-08-17,训练集,0.83990000,0.79847573,0.80800039,0.11490675,0.07311886
2025-08-18,训练集,0.84756111,0.83394215,0.84498951,0.06128898,0.06169697
2025-08-19,训练集,0.84291528,0.84162256,0.83790521,0.05049355,0.04456462
2025-08-20,验证集,0.86634861,0.83811790,0.84274751,0.06772569,0.05932886
2025-08-21,训练集,0.84720694,0.81754682,0.82815603,0.10388912,0.06935318
2025-08-22,测试集,0.66047083,0.80601500,0.76633503,0.31379251,0.22796498
2025-08-23,训练集,0.65919653,0.80155830,0.77270840,0.32954479,0.24266276
2025-08-24,训练集,0.84102153,0.70056802,0.76210991,0.17600492,0.09914368
2025-08-25,训练集,0.86015694,0.83260340,0.83033552,0.07085457,0.05921816
2025-08-26,验证集,0.84441806,0.84599471,0.84312179,0.07179719,0.05839557
2025-08-27,训练集,0.85338750,0.81510949,0.82436511,0.10250026,0.07827535
2025-08-28,测试集,0.86350486,0.84352818,0.83356754,0.07084542,0.06738131
2025-08-29,训练集,0.66450764,0.79765333,0.77230927,0.28729031,0.21389924
2025-08-30,训练集,0.65466250,0.68377056,0.70700099,0.12457804,0.15451219
2025-08-31,训练集,0.84653889,0.70883628,0.77038081,0.17719547,0.10654763
2025-09-01,验证集,0.75173264,0.83177529,0.83285621,0.12383853,0.11748219
2025-09-02,训练集,0.75399306,0.79047438,0.81218582,0.12320706,0.11753139
2025-09-03,测试集,0.76099444,0.77037434,0.79149998,0.07185243,0.07683482
2025-09-04,训练集,0.75699792,0.78353712,0.79830001,0.12983385,0.10977219
2025-09-05,训练集,0.55864028,0.73922658,0.72054910,0.39658237,0.33825904
2025-09-06,训练集,0.56571111,0.61431766,0.65493741,0.17948328,0.24206442
2025-09-07,验证集,0.75931389,0.64687453,0.71680767,0.16253320,0.09223593
2025-09-08,训练集,0.77352361,0.73534190,0.78374855,0.12704859,0.09648618
2025-09-09,测试集,0.75188333,0.75838222,0.75696832,0.06912065,0.06817000
2025-09-10,训练集,0.78182361,0.73663094,0.76591859,0.12170620,0.09270080
2025-09-11,训练集,0.75306389,0.76537587,0.76702891,0.07601584,0.06933866
2025-09-12,训练集,0.57508542,0.71439393,0.68679769,0.31928865,0.25039567
2025-09-13,验证集,0.56651597,0.61395453,0.61874740,0.22938279,0.21478492
