日期,MAE(元/kWh),RMSE(元/kWh),MAPE,前日偏差权重,实际均价(元/kWh),预测均价(元/kWh)
2025-05-21,0.04213084,0.05319210,6.35686050%,0.31324759,0.74582431,0.73575243
2025-05-22,0.03639822,0.04601235,5.70187368%,0.31560055,0.74619306,0.73605363
2025-05-23,0.11075890,0.12871394,25.22041107%,0.00000000,0.55697431,0.66366760
2025-05-24,0.07046760,0.08764554,18.46477952%,0.29765367,0.55320486,0.61820110
2025-05-25,0.04892136,0.06269650,7.49728058%,0.00000000,0.73796181,0.71321310
2025-05-26,0.04615633,0.06187850,6.96010228%,0.29433529,0.75247222,0.72942712
2025-05-27,0.04003822,0.05195326,6.88068524%,0.29970711,0.74292153,0.73851268
2025-05-28,0.04426799,0.05664328,6.96484064%,0.30459522,0.75126736,0.73397048
2025-05-29,0.05195364,0.06476950,7.71409519%,0.00000000,0.75951250,0.72804121
2025-05-30,0.10996945,0.12909607,33.86277414%,0.30108152,0.56099306,0.66940896
2025-05-31,0.11666419,0.13294931,27.27718259%,0.00000000,0.56635486,0.68080668
2025-06-01,0.13203334,0.15149369,16.84689834%,0.29750544,0.81918056,0.68789106
2025-06-02,0.07798425,0.09760536,9.90739319%,0.17794690,0.80994583,0.74377724
2025-06-03,0.06050392,0.07141107,8.04645499%,0.22716035,0.80628264,0.75427214
2025-06-04,0.08710322,0.10563815,11.36652105%,0.00000000,0.81365903,0.73051223
2025-06-05,0.07227347,0.08587503,9.18148531%,0.22148848,0.82206944,0.75702031
2025-06-06,0.05668578,0.06884346,10.30731735%,0.00000000,0.64928264,0.68849223
2025-06-07,0.03749284,0.04779554,6.70854968%,0.21743528,0.65028819,0.65469120
2025-06-08,0.06791884,0.07852542,8.86736161%,0.22303039,0.79707917,0.73616304
2025-06-09,0.06817801,0.08127284,8.71949229%,0.21867491,0.81925625,0.75881069
2025-06-10,0.08569985,0.10469340,10.61197681%,0.00000000,0.81681806,0.73446810
2025-06-11,0.06600485,0.08032417,8.17811248%,0.26731894,0.83169653,0.77484897
2025-06-12,0.09173997,0.10860984,11.67571945%,0.00000000,0.82198333,0.73930222
2025-06-13,0.07768180,0.09484459,14.18755753%,0.26578657,0.64002917,0.71452502
2025-06-14,0.05319755,0.06974720,9.77921291%,0.21405118,0.63686736,0.67578763
